Biodiesel feedstock,Sample Type,Density(g/ml at RT),Viscosity(cP at RT),molar ratio(unit oil),catalyst amount(wt%),Reaction tempÂ©,Reaction Time(hr),catalysts,catalysts type,biodiesel yield(%)
palm oil,edible oil,0.9,60,0.5,5,65,2.5,CaO,heterogeneous base,
soybean oil,edible oil,0.92,60,6,25,67,5,CaO,heterogeneous base,73.8
rapeseed oil,edible oil,0.92,34,9,3,70,3,biont shell,heterogeneous base,97.5
rapeseed oil,edible oil,0.92,34,9,2.5,65,3,shrimp shell,heterogeneous base,89.1
soybean oil,edible oil,0.92,60,6.27,1.01,65,5,fish scale,heterogeneous base,97.73
mustard oil,non edible oil,0.92,36,9,3,65,6,waste shell of Turbonilla striatula,heterogeneous base,93.3
tallow oil,animal fat,0.94,300,12,5,70,15,CaO - waste freshwater mussel shell,heterogeneous base,96
palm olein oil,edible oil,0.91,60,0.54,4.9,,3,waste Anadara granosa shell,heterogeneous base,97.48
waste frying oil,waste cooking oil,0.94,100,6.03,3,60,3,calcined clamshell-Mereterix mereterix,heterogeneous base,89
soybean oil,edible oil,0.92,60,10,3.5,60,4,calcined oyster shell,heterogeneous base,85
palm oil,edible oil,0.9,60,7,4,60,4,CaO-Pomacea sp.,heterogeneous base,95.61
waste frying oil,waste cooking oil,0.94,100,6.03,2,60,8,calcined snail shell,heterogeneous base,87.28
palm olein oil,edible oil,0.91,60,12,10,60,2,CaO,heterogeneous base,93.2
palm oil,edible oil,0.9,60,18,20,60,4,CaO,heterogeneous base,96.78
peanut oil,edible oil,0.92,45,20,18,60,4,goat animal bone,heterogeneous base,94.96
palm oil,edible oil,0.9,60,20,99,65,44,,heterogeneous base,92.94
soybean oil,edible oil,0.92,60,12,5,65,4,solid base catalyst - Li2CO3- modified waste peanut husk,heterogeneous base,98.4
palm oil,edible oil,0.9,60,9,10,65,3,calcined scallop waste shell,heterogeneous base,95.44
palm oil,edible oil,0.9,60,12,8,65,3,CaO-molluscs shell,heterogeneous base,96.77
soybean oil,edible oil,0.92,60,15,5,65,4,calcined - chicken bones,heterogeneous base,89.33
palm oil,edible oil,0.9,60,9,7,65,4,rice husk ash supported CaO,heterogeneous base,91.5
waste frying oil,waste cooking oil,0.94,100,9,9,60,4,solid base CaO - waste chicken eggshell,heterogeneous base,92
canola oil,edible oil,0.92,31,12,5,60,5,waste animal bone as support for CaO impregnation,heterogeneous base,95.18
waste cooking oil,waste cooking oil,0.92,67,6,2,60,3,heterogeneous base catalyst - Musa balbisiana Colla peel,heterogeneous base,100
soybean oil,edible oil,0.92,60,12,4,65,3,solid base heterogeneous catalyst,heterogeneous base,89
canola oil,edible oil,0.92,31,12,12,60,2,Red Mud as heterogeneous base catalsyt,heterogeneous base,99.6
jatropha oil,non edible oil,0.92,37,9,6,70,3,KOH/calcined waste animal bone,heterogeneous base,96.1
date seed oil,edible oil,0.92,60,12,5,65,1.5,waste egg shell,heterogeneous base,93.5
refined soybean oil,edible oil,0.92,50,10,7,57.5,3,heterogeneous alkali catalyst - waste chicken egg shell,heterogeneous base,93
chicken fat,animal fat,0.9,250,13,8.5,57.5,5,calcined chicken eggshell,heterogeneous base,90.41
rapeseed oil,edible oil,0.92,34,9,4,60,1,CaO-heterogenous base catalyst - waste eggshell,heterogeneous base,95.12
used cooking oil,waste cooking oil,0.92,67,10,1.98,65,1.54,CaO - waste chicken and fish bones,heterogeneous base,89.5
soybean oil,edible oil,0.92,60,12,7,65,0.42,heterogeneous base catalyst - waste Brassica nigra plant,heterogeneous base,98.79
waste cooking oil,waste cooking oil,0.92,67,15,5,60,4,ostrich(Struthio camelus) bone sample,heterogeneous base,90.56
sunflower oil,edible oil,0.92,60,12,7,65,0.67,heterogeneous base catalyst - waste Sesamum indicum plant,heterogeneous base,98.9
rubber seed oil,non edible oil,0.93,150,9,5,65,4,CaO - eggshell,heterogeneous base,97.84
waste cooking oil,waste cooking oil,0.92,67,9,6,65,3,CaO - heterogenous base catalyst - waste oyster shell,heterogeneous base,87.3
waste frying oil,waste cooking oil,0.94,100,15,4,65,2.5,waste chicken eggshell,heterogeneous base,93.27
waste cooking oil,waste cooking oil,0.92,67,15,3.5,65,2.5,waste rice straw,heterogeneous base,97.3
soybean oil,edible oil,0.92,60,6,6,65,2,calcine moringa leaves,heterogeneous base,86.7
palm kernel oil,edible oil,0.85,225,8,4,65,3,CaO,heterogeneous base,86
palm oil,edible oil,0.9,60,6,0.92,60,5,TiO2 - ZnO,heterogeneous base,92.2
rapeseed oil,edible oil,0.92,34,12,3,70,3,KF/CaO-MgO,heterogeneous base,95
soybean oil,edible oil,0.92,60,16,6,60,2,ZrO2/C4H4O6HK,heterogeneous base,98.03
soybean oil,edible oil,0.92,60,18,0.1,225,1,Nano-MgO on TiO2,heterogeneous base,95
soybean oil,edible oil,0.92,60,25,1.3,60,1,Sr3Al2O6,heterogeneous base,95.7
soybean oil,edible oil,0.92,60,40,4,175,1,Al2O3/ZrO2/WO3,heterogeneous base,100
sunflower mustard oil,edible oil,0.92,37,20,3,200,5,Zirconia supported HPA,heterogeneous base,97
sunflower oil,edible oil,0.92,60,6,10,60,6,CaO Nanoparticles/NaX Zeolite,heterogeneous base,93.5
waste cooking oil,waste cooking oil,0.92,67,12,4,35,3,La3+/ZnO-TiO2 photocatalyst,heterogeneous base,96.14
waste cooking oil,waste cooking oil,0.92,67,15,2,60,1,Fe2(SO4)3,heterogeneous acid,59.2
waste frying oil,waste cooking oil,0.94,100,8,10,60,1.5,Magnetic graphene oxide,heterogeneous base,94
waste cooking oil,waste cooking oil,0.92,67,0.44,8.5,63.1,0.01667,Calcined cow bone,heterogeneous base,99.24
waste cooking oil,waste cooking oil,0.92,67,10,10,110,10,Sulfonated carbon microsphere,heterogeneous acid,89.6
waste cooking oil,waste cooking oil,0.92,67,6,5,65,2,Calcined scallop shell,heterogeneous base,86
waste cooking oil,waste cooking oil,0.92,67,7,3,75,6,CaO-MgO,heterogeneous base,98.95
grease interceptor,grease,1.1,2000,20,1,50,48,Fe2(SO4)3,heterogeneous acid,93
grease,grease,1.1,2000,33,4,122,24,Phosphotungstic acid-poly(glycidylmethacrylate)-magnetic nano particles,heterogeneous acid,96
chicken fat,animal fat,0.9,250,12,4,60,1.5,Turritella terebra shell Cao,heterogeneous base,94.03
jatropha oil,non edible oil,0.92,37,12,5,65,2,Lithium ion impregnated CaO,heterogeneous base,99
karanja oil,non edible oil,0.945,45,12,5,65,1,Lithium ion impregnated CaO,heterogeneous base,99
rubber seed oil,non edible oil,0.93,150,9,9,65,0.667,Sodium metasilicate,heterogeneous base,97
neem oil,non edible oil,0.91,40,10,10,55,1,Copper doped zinc oxide,heterogeneous base,97.18
jatropha oil,non edible oil,0.92,37,24,4,65,6,CaO/La2O3,heterogeneous base,86.51
jatropha oil,non edible oil,0.92,37,15,2,150,4,Bi2O3-La2O3,heterogeneous base,93
jatropha oil,non edible oil,0.92,37,5,0.1,100,3,CaO-Al2O3,heterogeneous base,82.3
pongamia oil,non edible oil,0.94,45,10,12,55,0.9167,Fe/ZnO,heterogeneous base,93
attalea speciosa oil,non edible oil,0.87,40,5,1.64,70,3,Co(II) ions adsorbed chitosan,heterogeneous base,86.65
madhuca indica oil,edible oil,0.9,55,8,2.5,65,2.5,CaO,heterogeneous base,96
algal lipid,algae,0.925,30,30,3,80,2.5,Ca(OCH3)2,heterogeneous base,99
algal oil,algae,0.935,75,9,1.25,55,1,CaO,heterogeneous base,96.3
chlorella vulgaris,algae,0.94,75,8,12,60,0.75,KF/CaO,heterogeneous base,93.07
scenedesmus sp. oil,algae,0.94,50,60,4,50,0.334,WO3/ZrO2,heterogeneous acid,71
jatropha oil,non edible oil,0.92,37,5,3,60,2,CaO,heterogeneous base,96.2
karanja oil,non edible oil,0.945,45,12,2,58,2,CaO,heterogeneous base,97.3
cotton seed oil,edible oil,0.925,57,9,2,85,2,peanut shell carbonized and sulfonated - strong solid acid,heterogeneous acid,90.2
canola oil,edible oil,0.92,31,10,5,150,3,biochar -activated with KOH and sulfonated - strong acid catalyst,heterogeneous acid,48.1
cotton seed oil,edible oil,0.925,57,16.8,0.2,220,4.5,carbonized vegeatable oil asphalt sulfonated - carbon based solid acid catalyst,heterogeneous acid,94.8
calophyllum inophyllum oil,non edible oil,0.925,60,30,7.5,180,5,glucose carbonized and sulfonated - carbon catalyst,heterogeneous acid,99
waste cooking oil,waste cooking oil,0.92,67,10,10,140,0.5,oat hull carbonized and sulfonated - carbon based acid catalyst,heterogeneous acid,75
palm oil,edible oil,0.9,60,30,6,60,6,coconut shell carbonized and sulfonated - solid acid,heterogeneous acid,88.15
sunflower oil,edible oil,0.92,60,9,3,65,6,palm kernel shell calcined - CaO based catalyst,heterogeneous base,99
acetic acid,edible oil,1.04,1.22,0.2,34.5,88,,H2SO4 - magnetic carbon acid catalyst,heterogeneous acid,93
jatropha oil,non edible oil,0.92,37,24,10,200,10,H2SO4 - magnetic carbon acid catalyst,heterogeneous acid,90.5
soybean oil,edible oil,0.92,60,9,65,65,1.7,Na2SiO3 - magnetic base catalyst,heterogeneous base,98.1
pistacia chinensis seed oil,non edible oil,0.918,60,10,15,60,1.3,CS2/Fe ions - magnetic heteropolyacid catalyst,heterogeneous acid,93.1
microalgae,algae,0.87,50,12,4,65,6,Fe ions,heterogeneous base,95.6
oleic acid,edible oil,0.895,4.85,15,4,80,3,Fe ions/toluennesulfonic acid monohydrate,heterogeneous base,96.7
soybean oil,edible oil,0.92,60,8,2.5,60,1,Fe ions/ KNO3,heterogeneous base,98
jatropha oil,non edible oil,0.92,37,12,10,90,2,H2SO4,heterogeneous base,92.44
jatropha oil,non edible oil,0.92,37,9,7,65,2,Na2SiO3,heterogeneous base,96.7
cotton seed oil,edible oil,0.925,57,6,5,60,1.667,Fe3O4,heterogeneous base,99.6
sunflower oil,edible oil,0.92,60,20,3,78,3,CaZn(OH)4,heterogeneous base,95
olive oil,edible oil,0.92,74,6,5,65,0.25,SrO,heterogeneous base,82
fried oil,waste cooking oil,0.92,75,6,5,65,3,K3PO4,heterogeneous base,78
karanja oil,non edible oil,0.945,45,6,5,65,1,Li/CaO,heterogeneous base,99
palm oil,edible oil,0.9,60,8,3,60,6,"Capiz Shell, Cao",heterogeneous base,94
soybean oil,edible oil,0.92,60,24,12,60,8,"Museel shell, CaO",heterogeneous base,94
canola oil,edible oil,0.92,31,20,3,192,2,Templated-MgO,heterogeneous base,98
soybean oil,edible oil,0.92,60,21,3,65,4,MgAlFe hydrotalcite,heterogeneous base,81
soybean oil,edible oil,0.92,60,32,0.5,120,6,K/Al2O3 - Monolith,heterogeneous base,60
microalgae oil,algae,0.935,25,6,3,65,3,CaO/dolomite catalyst,heterogeneous base,90
waste cotton seed oil,waste cooking oil,0.919,44,7,0.65,,,KOH-CaO,heterogeneous base,96.44
waste cooking oil,waste cooking oil,0.92,67,15,4,65,1.5,Carbon extracted from date seed modified with ca and Mg oxides,heterogeneous base,94.27
waste cooking oil,waste cooking oil,0.92,67,1,1,65,4,"Hybrid CaO/Al2O3 aerogels 3:1, CaO/Al2O3",heterogeneous base,89.9
castor oil,non edible oil,0.96,450,12,6,75,1,Carbon-based magnesium oxide(MgO),heterogeneous base,96.5
oleic acid,edible oil,0.895,4.85,20,10,100,7,HZSM-5 Zeolite,heterogeneous acid,81
waste frying oil,waste cooking oil,0.94,100,15,1,205,4,Fe(HSO4)3,heterogeneous acid,95
soybean oil,edible oil,0.92,60,30,5,180,5,30% WO3/AlPO4,heterogeneous acid,73
palm oil,edible oil,0.9,60,20,6,140,2,Crude SiO2-Tosic acid,heterogeneous acid,65
palmitic acid,edible oil,0.88,60,33,3,65,5,Sulfonated carbon nano-horn,heterogeneous acid,93
oleic acid,edible oil,0.895,4.85,5,10,100,6,Sulfate LaO,heterogeneous acid,95.5
polanga oil,non edible oil,0.922,65,30,7.5,180,5,Sulfonated carbon,heterogeneous acid,98.5
oleic acid,edible oil,0.895,4.85,5,10,100,7,Sulfated LaO/HZSM-5,heterogeneous acid,99.8
soybean oil,edible oil,0.92,60,4,,65,8,30% Tungastosicic acid/Zeolite H'B',heterogeneous acid,95
microalgal oil,algae,0.935,25,12,2.5,65,2,Spirulina platensis.('B'-Sr2SiO4),heterogeneous acid,76.34
soybean oil,edible oil,0.92,60,50,6,65,50,40% CaO-MoO3-SBA -15,heterogeneous base,83.2
jatropha curcas oil,non edible oil,0.92,37,25,3,150,3,CaO-La2O3,heterogeneous base,98.76
waste cooking oil,waste cooking oil,0.92,67,40,3,200,3,ZnO-La2O3,heterogeneous base,96
jatropha curcas oil,non edible oil,0.92,37,15,2,150,4,5Bi2O3-La2O3,heterogeneous base,93
waste cooking oil,waste cooking oil,0.92,67,20,3,180,4,Fe2O3-Mn-SO4/ZrO2,heterogeneous base,96.5
coconut oil,edible oil,0.92,15,16,3.3,182,6,Mg0.7Zn1.3Al0.67O3,heterogeneous base,98
waste cooking oil,waste cooking oil,0.92,67,27,5,100,4,Mo-Mn/y-Al2O3-15wt%Mg),heterogeneous base,91.4
jatropha curcas oil,non edible oil,0.92,37,20,2,105,2,Ca-B(700),heterogeneous base,96
jatropha curcas oil,non edible oil,0.92,37,40,7,160,4,Zn8-Fe-C400,heterogeneous base,100
waste cooking oil,waste cooking oil,0.92,67,10,15,75,5,2.6SrO-Zn)/Al2O3,heterogeneous base,95.7
coffee oil,non edible oil,0.915,55,12,10,78,2,Quintinite-3 T,heterogeneous base,98.97
jatropha curcas oil,non edible oil,0.92,37,30,5,160,4,Mg-Al,heterogeneous base,93.4
mustard oil,non edible oil,0.92,36,12,7,65,6,FZ-HT,heterogeneous base,93.4
soybean oil,edible oil,0.92,60,13,5,230,1,mg-Al hydrotalcites,heterogeneous base,90.7
rapeseed oil,edible oil,0.92,34,10,4,200,2,HZN-2,heterogeneous base,98.02
microalgal lipids,algae,0.95,37,20,1,200,1.5,HPW/ZIF,heterogeneous base,98.5
eruca sativa gars seed oil,non edible oil,0.925,65,9,9,65,12,Ly2HPW,heterogeneous base,93
soybean oil,edible oil,0.92,60,12,2,180,2,"Zn(4,4-bipy)(Oac)2",heterogeneous base,98.1
degummed palm oil,edible oil,0.92,55,6,6,60,4.5,Fe/DS-HMS-NH2,heterogeneous base,85.39
waste cooking oil,waste cooking oil,0.92,67,12,5,80,4,PKSAC-K2CO3-CuO,heterogeneous base,95
waste cooking oil,waste cooking oil,0.92,67,15,2,70,2,waste egg shell,heterogeneous base,96.2
palm fatty acid distillate,non edible oil,0.93,200,15,5,80,3,CAWS-SO4,heterogeneous base,98
stillingia oil,non edible oil,0.93,60,12,4,65,3,KF/CaPO-Fe3O4,heterogeneous base,95
waste cooking oil,waste cooking oil,0.92,67,8,1,50,1.5,CaO,heterogeneous base,96
soybean oil,edible oil,0.92,60,12,8,65,6,CaO,heterogeneous base,93
waste cooking oil,waste cooking oil,0.92,67,18,3,65,4,MnFe2O4/GO,heterogeneous base,96.47
rapeseed oil,edible oil,0.92,34,12,0.8,35,0.58,Li/Fe3O4,heterogeneous base,99.8
chicken oil,animal fat,0.9,250,15,3,70,4,CaO/CuFe2O4,heterogeneous base,94.52
chicken oil,animal fat,0.9,250,12,3,65,4,CaO/CuFe2O4-AC,heterogeneous base,95.6
sunflower oil,edible oil,0.92,60,10,2,60,4,CaO-ZnO,heterogeneous base,97.5
sunflower oil,edible oil,0.92,60,18,3,65,5,MgO-La2O3,heterogeneous base,97.7
moringa oleifera seed,edible oil,0.925,35,12,1,45,4,MgO,heterogeneous base,93.69
waste edible oil,non edible oil,0.915,125,7,3,75,6,CaO/MgO,heterogeneous base,98.95
waste cooking oil,waste cooking oil,0.92,67,8,12,55,0.83,Copper/zinc oxide,heterogeneous base,97.71
waste cooking oil,waste cooking oil,0.92,67,5.5,0.9,60,0.75,Sr-Al double oxides,heterogeneous base,99.4
cotton seed oil,edible oil,0.925,57,54,5,65,0.33,LaMgO,heterogeneous base,96
microalgae,algae,0.87,50,15,3.5,60,4,Mn-ZnO,heterogeneous base,87.5
waste sheep fat,animal fat,0.92,750,15,8,65,5,Nano-sulfated zirconia,heterogeneous base,98.7
Nannochloropsis sp. Microalgae,algae,0.925,125,30,3,80,3,Ca(OCH3)2,heterogeneous base,99
microalgae,algae,0.87,50,9,1.5,60,,CaO,heterogeneous base,96.3
microalgae,algae,0.87,50,9,1.25,55,,CaO,heterogeneous base,96.3
lard oil,edible oil,0.92,75,5.5,0.9,50,0.75,Sr-Al double oxides,heterogeneous base,99.7
waste cooking oil,waste cooking oil,0.92,67,9,4,95,5,SO4/Mg-Al-Fe3O4,heterogeneous base,98.5
poultry fat,animal fat,0.92,100,70,1,25,6,Nanocrystalline CaO,heterogeneous base,100
tallow seed,non edible oil,0.94,300,12,4,65,2.5,KF/CaO,heterogeneous base,96.8
soybean oil,edible oil,0.92,60,25,3,65,8,Fe3O4/MCM-41,heterogeneous base,99.2
soybean oil,edible oil,0.92,60,12,6,65,2,Li2ZrO2,heterogeneous base,99
soybean oil,edible oil,0.92,60,16,6,65,2,Na2ZrO2,heterogeneous base,96.4
soybean oil,edible oil,0.92,60,12,8,65,2,K2ZrO2,heterogeneous base,89.3
palm oil,edible oil,0.9,60,5,,,,"copper nanoparticles-benzene-1,3,5- tricarboxylic acid-MOF",heterogeneous base,91
sunflower oil,edible oil,0.92,60,15,3,170,8,Fe-Zn,heterogeneous base,92
soybean oil,edible oil,0.92,60,12,5,65,3,ZnO-Sr(NO3)2,heterogeneous base,94.7
soybean oil,edible oil,0.92,60,20,5,120,1,S-ZrO2,heterogeneous base,98.6
soybean oil,edible oil,0.92,60,55,5,130,7,ZnO,heterogeneous base,24
sunflower oil,edible oil,0.92,60,3,2,60,5,ZrO2-La2O3,heterogeneous base,84.9
soybean oil,edible oil,0.92,60,40,4,175,12,TiO2/ZrO2,heterogeneous base,95
waste cooking oil,waste cooking oil,0.92,67,18,3,200,10,ZS/Si,heterogeneous base,98
vegetable oil,edible oil,0.92,45,19.4,0.2,75,1,WO3/ZrO2,heterogeneous base,70
jatropha curcas oil,non edible oil,0.92,37,15,3,70,2,sulfated tin oxide,heterogeneous base,97
cooking oil,edible oil,0.92,45,12,7.5,60,6,CaO,heterogeneous base,95.4
refined palm oil,edible oil,0.92,45,12,5,,6,CaO,heterogeneous base,86.75
waste cooking oil,waste cooking oil,0.92,67,6,5.8,25,11,CaO,heterogeneous base,97
pre-treated waste cooking oil,waste cooking oil,0.92,45,6,1,60,8,Barium doped CaO,heterogeneous base,100
waste cooking palm oil,waste cooking oil,0.92,45,15,3,80,3,Mo-Zr doped CaO,heterogeneous base,90.1
used cooking oil,waste cooking oil,0.92,67,9,3,65,1,"alkali metals L, Na, K",heterogeneous base,98.2
rubber seed oil,non edible oil,0.93,150,15,3.5,55,1,activated carbon supported KOH,heterogeneous base,89.81
palm stearin,edible oil,0.94,60,20,10.5,60,4,activated carbon supported alkali earth metals,heterogeneous base,95.3
refined palm oil,edible oil,0.92,45,2,7.5,65,3,activated carbon supported CaO and NaOH,heterogeneous base,95.12
oleic acid,edible oil,0.895,4.85,7,6,90,2,direct sulfonation H2SO4,heterogeneous acid,98.4
caprylic acid,edible oil,0.91,2.5,3,5,60,4,direct sulfonation H2SO4,heterogeneous acid,71.5
c. inophyllum oil,non edible oil,0.92,165,1.1,6,150,5,direct sulfonation H2SO4,heterogeneous acid,36.4
jatropha curcas oil,non edible oil,0.92,37,12,7.5,60,1,direct sulfonation H2SO4,heterogeneous acid,99.13
waste palm oil,waste cooking oil,0.935,350,12,5,67,10,direct sulfonation H2SO4,heterogeneous acid,92.7
karanja oil,non edible oil,0.945,45,45,20,160,4,in situ partial carbonization with sulfonation/conc. H2SO4,heterogeneous acid,99.5
oleic acid,edible oil,0.895,4.85,12,20,60,2,in situ partial carbonization with sulfonation/conc. H2SO4,heterogeneous acid,94
oleic acid,edible oil,0.895,4.85,3,3,60,4,direct sulfonation/fumming sulfuric acid,heterogeneous acid,92
palmitic acid,edible oil,0.88,60,6,,57,6,direct sulfonation/sulfur trioxide,heterogeneous acid,97
aliphatic acid,edible oil,0.92,5,10,1.2,70,10,arylation/4-benzene-diazonium sulfonate,heterogeneous acid,52
oleic acid,edible oil,0.895,4.85,20,3,64,10,arylation/4-benzene-diazonium sulfonate,heterogeneous acid,97
mahua oil,edible oil,0.922,90,7,8,50,0.833333333,manganese-ZnO,heterogeneous base,97
madhuca oil,edible oil,0.9,55,6,0.6,55,5,hetero-polyacid coated ZnO,heterogeneous base,95
simarouba oil,edible oil,0.915,35,9,1.5,64,2,Ag-ZnO,heterogeneous base,84.5
castor oil,non edible oil,0.96,450,12,14,55,0.833333333,iron (II) doped ZnO,heterogeneous base,90
soybean oil,edible oil,0.92,60,20,4,180,1,copper ion coupled zinc oxide nanoferrites,heterogeneous base,85
castor oil,non edible oil,0.96,450,8,11,55,1,nickel doped zinc,heterogeneous base,95.2
canola oil,edible oil,0.92,31,15,4,65,6,ZnO/BiFeO3,heterogeneous base,95.43
mesua ferrea oil,non edible oil,0.915,125,9,2.5,60,3,cobalt doped ZnO,heterogeneous base,98.03
soybean oil,edible oil,0.92,60,9,3,65,3,calcium oxide microsphere with nanopores,heterogeneous base,98.72
rapeseed oil,edible oil,0.92,34,15,6,65,6,Ca/Al/Fe3O4 magnetic composite solid catalyst,heterogeneous base,98.71
jatropha oil,non edible oil,0.92,37,5.15,0.02,60,2.218333333,heterogenous CaO,heterogeneous base,98.54
canola oil,edible oil,0.92,31,3,3,65,8,K2CO3-CaO nanocatalyst,heterogeneous base,97.67
sunflower oil,edible oil,0.92,60,9,3,65,3,CaO-AU NPs,heterogeneous base,97
soybean oil,edible oil,0.92,60,12,1,70,3,MgFe2O4 supported CaO,heterogeneous base,98.3
soybean oil,edible oil,0.92,60,11,3.68,60,2,CaO nanocatalyst,heterogeneous base,97.61
moringa oleifera oil,non edible oil,0.925,35,0.3,4,65,2.5,CuO-CaO nanocatalyst,heterogeneous base,95.24
sunflower oil,edible oil,0.92,60,12,3,110,3,MgO/MgAl2O4,heterogeneous base,95
oil from goat fat,animal fat,0.915,115,12,1,70,3,MgO nanocatalyst,heterogeneous base,93.12
sunflower oil,edible oil,0.92,60,9,5,70,6,MgO over cerium-doped MCM-41 nanocatalyst,heterogeneous base,94.3
waste cooking oil,waste cooking oil,0.92,67,24,2,65,1,MgO nanocatalyst,heterogeneous base,93.3
waste cooking oil,waste cooking oil,0.92,67,6,3,50,6,MgO-NaOH nanocatalyst,heterogeneous base,97
used cooking oil,waste cooking oil,0.92,67,9,1.5,75,3,Ti(SO4)O,heterogeneous base,97.1
used cooking oil,waste cooking oil,0.92,67,15,4.5,60,9,Ti)2/PrSO3H,heterogeneous base,98.3
soybean oil,edible oil,0.92,60,20,15,100,2,sulfated Fe2O3-TiO2,heterogeneous base,90
silybummarianum oil,edible oil,0.93,55,15,6,60,2,KOH modified Zirconia,heterogeneous base,90.8
oleic acid,edible oil,0.895,4.85,8,0.2,67,2,Zirconia coupled alumina,heterogeneous base,90.11
palmitic acid,edible oil,0.88,60,20,6,60,6,sulphated Zirconia,heterogeneous base,90
jatropha oil,non edible oil,0.92,37,4,1,30,1.5,Mg/Al,heterogeneous base,95.2
soybean oil,edible oil,0.92,60,9,5,67,4,cerium modified Mg/Al,heterogeneous base,90.2
pongamia oil,non edible oil,0.94,45,6,1,65,4,Mg/Al,heterogeneous base,90.8
palm oil,edible oil,0.9,60,12,5,65,0.166666667,KF/Ca-Mg-Al hydrotalcite,heterogeneous base,99.6
soybean oil,edible oil,0.92,60,3,0.0125,100,3.5,Kna/ZIF 8,heterogeneous base,98
castor oil,non edible oil,0.96,450,15,70,55,7,KOH/zeolite,heterogeneous base,92.11
jatropha curcas,non edible oil,0.92,37,20,4,90,2,TiO2/SiO42-,heterogeneous acid,97
jatropha curcas,non edible oil,0.92,37,12,10,60,2,SiO2.Hf,heterogeneous acid,96
pongamia pinnata,non edible oil,0.94,45,6,0.8,60,0.416666667,Amberlite IR 120 H,heterogeneous acid,95
